Timestamp,¿Qué actividades deportivas te gusta practicar?,¿Cuáles son tus actividades culturales favoritas?,¿Qué tipo de comida te gusta?,"Además, en tu tiempo de ocio te gusta..."
10/20/2021 17:21:42,"Surf, Running, Climbing","Concerts, Theaters, Parks, Museums, Bookstores, Movies","Sushi, Italian, Mediterranean","Coffee, Parties, Drinks at night"
10/20/2021 17:55:09,"Fitness, Climbing, Football","Concerts, Parks, Movies","Burgers, Italian, Chinese","Coffee, Sunsets"
10/20/2021 17:56:21,"Fitness, Football, Running","Bookstores, Museums, Rural tourism, Parks, Guided visits","Mediterranean, Chinese, Italian, Burgers",Sunsets
10/20/2021 17:56:47,"Trecking, Paddle","Rural tourism, Guided visits, Concerts","Mediterranean, Sushi, Italian, Burgers","Sunsets, Parties, Drinks at night, Coffee"
10/20/2021 17:57:21,Fitness,"Rural tourism, Movies, Concerts","Burgers, Mediterranean","Drinks at night, Parties"
10/20/2021 17:58:38,"Paddle, Fitness","Movies, Parks, Concerts, Guided visits","Chinese, Mediterranean, Burgers, Italian","Drinks at night, Coffee, Parties, Sunsets"
10/20/2021 17:58:55,"Trecking, Running","Rural tourism, Movies, Concerts","Italian, Mediterranean, Sushi","Coffee, Parties, Sunsets"
10/20/2021 17:59:36,"Surf, Running","Concerts, Movies, Rural tourism, Bookstores","Italian, Sushi, Mediterranean, Burgers","Parties, Sunsets, Drinks at night, Coffee"
10/20/2021 17:59:44,"Running, Paddle","Parks, Movies","Chinese, Sushi, Italian, Indian, Mediterranean, Burgers","Drinks at night, Parties, Sunsets"
10/20/2021 17:59:56,"Trecking, Voley, Running","Rural tourism, Museums, Guided visits, Parks","Italian, Burgers, Mediterranean, Indian, Sushi","Coffee, Sunsets, Parties, Drinks at night"
10/20/2021 17:59:58,Paddle,"Parks, Movies, Concerts","Indian, Sushi, Burgers, Italian, Mediterranean, Chinese","Sunsets, Drinks at night, Coffee, Parties"
10/20/2021 18:05:11,Trecking,"Movies, Museums, Theaters, Parks, Guided visits, Concerts, Rural tourism","Burgers, Mediterranean, Italian, Chinese, Sushi","Sunsets, Coffee, Drinks at night"
10/20/2021 18:09:47,Fitness,"Rural tourism, Movies, Theaters, Concerts, Parks, Bookstores, Museums","Burgers, Indian, Chinese, Mediterranean, Italian, Sushi","Drinks at night, Sunsets"
10/20/2021 18:15:50,"Paddle, Football, Trecking, Fitness","Rural tourism, Museums, Concerts","Sushi, Burgers, Italian, Chinese, Indian","Drinks at night, Sunsets"
10/20/2021 18:24:36,Trecking,"Movies, Bookstores, Museums, Theaters, Concerts","Sushi, Mediterranean, Italian, Indian","Coffee, Sunsets"
10/20/2021 18:25:14,"Voley, Football, Fitness","Movies, Concerts, Parks","Italian, Burgers, Chinese, Indian, Mediterranean","Drinks at night, Coffee, Parties, Sunsets"
10/20/2021 18:39:34,Climbing,Movies,"Mediterranean, Burgers, Chinese, Italian, Indian","Sunsets, Coffee"
10/20/2021 18:56:22,"Running, Fitness, Football","Museums, Guided visits, Rural tourism, Theaters, Parks, Movies, Concerts","Burgers, Chinese, Mediterranean, Italian, Indian, Sushi","Coffee, Parties, Drinks at night"
10/20/2021 19:01:46,"Fitness, Trecking","Parks, Museums, Rural tourism, Movies, Concerts, Theaters","Chinese, Mediterranean, Italian, Sushi, Indian, Burgers","Sunsets, Parties, Coffee, Drinks at night"
10/20/2021 19:16:12,"Running, Fitness","Bookstores, Guided visits, Rural tourism, Movies, Concerts, Parks, Museums","Burgers, Indian, Italian, Mediterranean, Chinese, Sushi","Sunsets, Coffee"
10/20/2021 19:16:35,Surf,"Concerts, Parks, Movies","Burgers, Indian, Mediterranean, Italian","Parties, Sunsets, Drinks at night"
10/20/2021 19:28:46,"Football, Trecking, Fitness, Paddle","Movies, Rural tourism, Museums, Guided visits","Indian, Sushi, Chinese, Mediterranean, Burgers, Italian","Sunsets, Coffee, Drinks at night"
10/20/2021 19:32:54,"Trecking, Running",Concerts,"Sushi, Burgers, Italian, Chinese","Sunsets, Coffee, Drinks at night, Parties"
10/20/2021 19:33:09,"Surf, Fitness","Parks, Theaters, Guided visits","Italian, Indian","Coffee, Parties"
10/20/2021 19:41:05,Fitness,"Concerts, Movies, Museums, Theaters","Sushi, Indian, Mediterranean, Chinese, Italian","Sunsets, Drinks at night, Parties"
10/20/2021 20:05:13,Fitness,"Rural tourism, Parks","Burgers, Mediterranean, Italian, Sushi","Sunsets, Parties, Drinks at night, Coffee"
10/20/2021 20:11:03,Voley,"Rural tourism, Movies, Museums","Burgers, Italian, Indian, Mediterranean","Coffee, Sunsets"
10/20/2021 21:11:23,"Trecking, Climbing, Fitness, Paddle","Bookstores, Rural tourism, Guided visits, Movies, Museums","Burgers, Sushi, Mediterranean, Indian, Chinese, Italian","Sunsets, Coffee"
10/20/2021 22:15:21,Running,"Movies, Theaters, Bookstores","Burgers, Mediterranean, Chinese, Italian, Indian",Coffee
10/20/2021 22:50:33,Fitness,"Movies, Parks","Mediterranean, Italian",Coffee
10/21/2021 0:13:45,"Trecking, Fitness","Concerts, Movies, Parks, Rural tourism","Italian, Chinese, Mediterranean, Sushi","Drinks at night, Parties, Sunsets"
10/21/2021 0:28:34,"Football, Trecking, Running","Concerts, Movies, Rural tourism","Chinese, Burgers, Italian, Mediterranean","Drinks at night, Coffee, Sunsets, Parties"
10/21/2021 9:04:48,"Climbing, Fitness, Trecking","Movies, Parks, Rural tourism, Theaters","Indian, Chinese, Burgers, Italian, Sushi, Mediterranean","Coffee, Sunsets"
10/21/2021 9:10:12,"Running, Fitness","Movies, Bookstores, Museums, Rural tourism, Parks","Sushi, Indian, Mediterranean, Italian","Sunsets, Drinks at night, Coffee"
10/21/2021 9:10:19,"Running, Fitness","Rural tourism, Museums, Concerts, Movies, Theaters","Italian, Burgers, Mediterranean","Drinks at night, Sunsets"
10/21/2021 9:12:19,Fitness,"Movies, Concerts, Theaters, Parks, Bookstores","Burgers, Sushi, Indian, Italian, Chinese","Parties, Sunsets, Drinks at night, Coffee"
10/21/2021 9:14:20,"Paddle, Surf","Movies, Rural tourism, Theaters","Burgers, Chinese, Mediterranean, Indian, Italian","Drinks at night, Parties, Sunsets"
10/21/2021 9:28:15,"Voley, Trecking","Guided visits, Concerts, Parks, Movies, Rural tourism, Theaters","Sushi, Italian, Burgers, Indian, Chinese, Mediterranean","Sunsets, Coffee"
10/21/2021 10:13:07,"Surf, Paddle","Theaters, Museums, Concerts, Movies","Mediterranean, Chinese, Burgers, Sushi, Italian","Drinks at night, Sunsets, Parties"
10/21/2021 12:53:04,"Fitness, Paddle, Running, Voley, Football, Surf","Theaters, Concerts, Bookstores, Movies, Rural tourism, Guided visits, Parks, Museums","Indian, Chinese, Italian, Mediterranean, Sushi",Sunsets
10/21/2021 13:23:32,"Fitness, Trecking","Theaters, Parks, Museums, Concerts, Bookstores","Italian, Burgers","Drinks at night, Parties"
10/21/2021 13:26:28,"Fitness, Running, Football","Concerts, Rural tourism, Movies","Mediterranean, Italian, Sushi","Coffee, Drinks at night, Sunsets"
10/21/2021 18:46:00,"Football, Fitness","Theaters, Movies","Mediterranean, Indian, Italian","Coffee, Parties, Sunsets, Drinks at night"
10/21/2021 21:20:31,"Fitness, Trecking, Climbing","Theaters, Rural tourism, Museums, Parks","Sushi, Italian, Mediterranean","Sunsets, Coffee"
10/21/2021 21:36:59,"Climbing, Paddle, Voley","Bookstores, Museums, Guided visits","Sushi, Chinese",Coffee
10/22/2021 10:13:04,"Trecking, Fitness, Paddle","Guided visits, Bookstores, Rural tourism, Theaters, Movies","Sushi, Chinese, Mediterranean, Indian, Italian","Coffee, Sunsets"
10/22/2021 16:18:35,Running,"Theaters, Movies","Mediterranean, Indian, Italian, Sushi, Chinese","Coffee, Drinks at night"
10/22/2021 16:27:16,"Football, Fitness","Movies, Parks, Rural tourism, Museums","Mediterranean, Burgers, Indian, Italian, Chinese, Sushi","Sunsets, Coffee"
10/22/2021 16:27:27,Paddle,"Rural tourism, Movies, Museums",Mediterranean,Sunsets
10/22/2021 16:27:30,Trecking,"Parks, Rural tourism, Movies","Indian, Italian, Sushi, Mediterranean","Drinks at night, Coffee, Sunsets, Parties"
10/22/2021 16:29:25,"Football, Paddle","Museums, Movies","Sushi, Mediterranean, Burgers",Coffee
10/22/2021 16:30:23,Surf,Museums,Italian,"Parties, Drinks at night, Sunsets"
10/22/2021 16:32:24,"Surf, Voley, Fitness","Bookstores, Guided visits, Rural tourism, Parks, Museums, Movies, Theaters, Concerts","Sushi, Indian, Italian, Chinese, Mediterranean","Parties, Drinks at night, Sunsets"
10/22/2021 16:33:20,Football,"Movies, Museums, Theaters","Italian, Mediterranean, Chinese, Indian","Drinks at night, Parties, Coffee"
10/22/2021 16:33:59,"Running, Surf","Rural tourism, Movies","Mediterranean, Indian, Chinese","Coffee, Sunsets"
10/22/2021 16:38:24,Running,Rural tourism,Mediterranean,Drinks at night
10/22/2021 16:41:15,Football,Rural tourism,"Burgers, Mediterranean","Sunsets, Coffee"
10/22/2021 16:44:19,"Trecking, Running","Guided visits, Parks, Rural tourism, Museums","Chinese, Mediterranean, Burgers, Sushi, Indian, Italian","Coffee, Sunsets"
10/22/2021 16:49:35,Trecking,"Rural tourism, Theaters, Parks","Mediterranean, Sushi","Sunsets, Coffee"
10/22/2021 16:51:53,Paddle,"Parks, Movies","Italian, Sushi, Mediterranean","Coffee, Sunsets"
10/22/2021 16:52:16,Paddle,"Parks, Movies","Mediterranean, Italian, Sushi","Coffee, Sunsets"
10/22/2021 17:30:23,"Paddle, Surf",Movies,"Mediterranean, Chinese, Burgers, Sushi, Indian, Italian",Coffee
10/22/2021 18:13:51,"Fitness, Trecking, Football, Running","Movies, Rural tourism, Concerts, Parks","Italian, Sushi, Burgers, Chinese, Indian","Coffee, Parties, Drinks at night"
10/22/2021 20:00:04,"Trecking, Fitness","Movies, Theaters, Rural tourism, Museums, Concerts, Parks, Bookstores",Mediterranean,"Parties, Sunsets"
10/22/2021 20:09:43,Surf,Rural tourism,"Italian, Mediterranean",Drinks at night
10/22/2021 23:16:35,Fitness,"Concerts, Movies, Guided visits, Parks","Mediterranean, Burgers, Chinese, Italian","Drinks at night, Sunsets"
10/23/2021 0:05:43,Fitness,"Guided visits, Movies","Chinese, Italian, Burgers","Drinks at night, Coffee, Parties"
10/23/2021 10:31:37,Football,"Movies, Parks","Chinese, Mediterranean, Burgers, Italian",Sunsets
10/23/2021 10:32:49,Trecking,"Concerts, Rural tourism, Guided visits, Movies","Burgers, Italian, Chinese, Mediterranean","Sunsets, Coffee"
10/23/2021 10:41:18,Trecking,"Rural tourism, Concerts, Guided visits","Mediterranean, Indian","Sunsets, Coffee"
10/23/2021 10:55:56,Fitness,"Rural tourism, Concerts, Theaters","Indian, Mediterranean, Sushi",Coffee
10/23/2021 11:00:31,Trecking,"Guided visits, Concerts, Theaters, Rural tourism","Mediterranean, Chinese, Italian, Sushi, Burgers",Sunsets
10/23/2021 11:03:48,"Fitness, Running","Guided visits, Concerts","Mediterranean, Italian",Sunsets
10/23/2021 11:06:44,"Trecking, Running, Fitness","Concerts, Rural tourism, Movies","Mediterranean, Sushi, Burgers, Italian","Drinks at night, Parties"
10/23/2021 11:08:03,Paddle,"Rural tourism, Concerts","Italian, Mediterranean, Burgers","Sunsets, Drinks at night, Parties"
10/23/2021 11:17:34,"Voley, Surf, Paddle","Guided visits, Museums, Rural tourism, Movies, Theaters","Burgers, Indian, Italian, Sushi, Mediterranean, Chinese","Coffee, Parties"
10/23/2021 11:49:30,Trecking,"Parks, Rural tourism",Mediterranean,"Sunsets, Parties"
10/23/2021 12:03:32,"Fitness, Running","Guided visits, Museums, Theaters, Concerts, Rural tourism","Italian, Mediterranean, Sushi, Indian","Coffee, Parties"
10/23/2021 12:18:15,"Fitness, Trecking","Guided visits, Parks, Movies, Rural tourism","Italian, Mediterranean","Drinks at night, Coffee, Sunsets"
10/23/2021 12:38:21,Running,"Theaters, Movies","Sushi, Italian, Mediterranean, Burgers, Chinese, Indian",Coffee
10/23/2021 12:39:57,Trecking,"Rural tourism, Museums, Theaters, Movies","Chinese, Mediterranean, Burgers, Italian","Coffee, Sunsets"
10/23/2021 12:40:18,"Paddle, Football","Theaters, Movies, Bookstores, Concerts","Mediterranean, Italian","Parties, Coffee"
10/23/2021 12:53:28,Fitness,"Theaters, Movies, Bookstores","Burgers, Chinese, Mediterranean, Italian","Parties, Coffee"
10/23/2021 13:00:41,Fitness,"Guided visits, Movies, Theaters","Italian, Mediterranean","Sunsets, Coffee"
10/23/2021 14:03:13,"Running, Paddle","Theaters, Museums","Mediterranean, Italian",Coffee
10/23/2021 14:05:28,Fitness,Theaters,Mediterranean,Coffee
10/23/2021 14:10:15,"Football, Voley, Running, Paddle","Rural tourism, Museums",Mediterranean,Drinks at night
10/23/2021 14:12:19,Running,"Museums, Rural tourism","Indian, Mediterranean, Chinese, Italian, Sushi","Parties, Drinks at night, Coffee"
10/23/2021 14:14:37,"Paddle, Fitness","Theaters, Guided visits, Rural tourism",Mediterranean,"Parties, Drinks at night, Coffee"
10/23/2021 14:21:06,Running,"Guided visits, Rural tourism","Mediterranean, Burgers, Italian",Sunsets
10/23/2021 14:45:20,Fitness,"Movies, Bookstores","Mediterranean, Italian","Coffee, Sunsets"
10/23/2021 14:46:39,Trecking,"Rural tourism, Movies, Theaters, Museums, Concerts","Mediterranean, Italian","Coffee, Parties"
10/23/2021 14:46:45,"Paddle, Fitness","Rural tourism, Museums","Italian, Mediterranean",Parties
10/23/2021 14:54:00,Trecking,Movies,Mediterranean,Coffee
10/23/2021 15:16:36,"Fitness, Running","Theaters, Movies, Concerts, Rural tourism, Guided visits, Museums",Mediterranean,"Coffee, Parties"
10/23/2021 15:17:11,"Fitness, Voley","Rural tourism, Parks, Guided visits",Mediterranean,"Parties, Sunsets"
10/23/2021 15:17:36,"Climbing, Trecking",Movies,"Burgers, Sushi",Drinks at night
10/23/2021 15:17:56,"Fitness, Surf","Theaters, Movies","Indian, Sushi",Parties
10/23/2021 15:17:58,Fitness,"Parks, Bookstores","Chinese, Mediterranean","Coffee, Parties, Sunsets"
10/23/2021 15:18:16,"Football, Voley","Concerts, Movies","Mediterranean, Burgers","Coffee, Sunsets"
10/23/2021 18:19:16,Fitness,"Concerts, Movies, Theaters, Museums","Indian, Mediterranean, Italian","Drinks at night, Sunsets"
10/23/2021 18:49:03,Fitness,"Concerts, Rural tourism, Museums","Mediterranean, Italian",Drinks at night
10/23/2021 18:59:19,Fitness,"Museums, Movies","Italian, Indian, Chinese, Burgers, Mediterranean",Coffee
10/23/2021 20:18:32,Trecking,"Guided visits, Movies, Parks, Rural tourism","Italian, Burgers, Mediterranean",Parties
10/23/2021 20:58:50,Trecking,"Museums, Bookstores, Rural tourism","Mediterranean, Italian",Coffee
10/23/2021 21:26:12,Football,Concerts,Burgers,Drinks at night
10/23/2021 21:44:05,"Fitness, Paddle","Concerts, Guided visits, Rural tourism","Mediterranean, Italian",Coffee
10/23/2021 21:55:34,Paddle,"Concerts, Theaters, Movies, Guided visits, Parks, Rural tourism","Italian, Mediterranean","Coffee, Sunsets"
10/23/2021 22:00:26,"Trecking, Football",Museums,Sushi,Parties
10/23/2021 22:00:48,Paddle,"Guided visits, Concerts","Indian, Sushi","Coffee, Parties"
10/23/2021 22:01:08,Climbing,Rural tourism,Indian,Coffee
10/23/2021 22:01:36,"Voley, Climbing","Guided visits, Concerts","Burgers, Mediterranean","Drinks at night, Parties"
10/23/2021 22:05:09,Trecking,"Guided visits, Rural tourism",Mediterranean,Parties
10/24/2021 0:03:49,Trecking,"Guided visits, Museums, Rural tourism, Movies, Theaters","Italian, Mediterranean","Coffee, Sunsets"
10/24/2021 9:16:45,Fitness,"Museums, Concerts, Theaters",Mediterranean,Parties